,Mesenchyme_corr,Mesenchyme_pval,Mesenchyme_qval,Mesenchyme_ci_low,Mesenchyme_ci_high,gene_annotation
ENSMUSG00000095139,0.31965597266211637,0.0,0.0,0.3137538988025489,0.32553334569938724,Pou3f2
ENSMUSG00000074862,0.31964005444211335,0.0,0.0,0.31373791430236175,0.32551749470966945,BC025920
ENSMUSG00000029082,0.3195720589440696,0.0,0.0,0.3136696357227564,0.325449786352064,Bst1
ENSMUSG00000062198,0.3194889843837543,0.0,0.0,0.3135862153859726,0.32536706252824854,2700097O09Rik
ENSMUSG00000026203,0.31945314162265864,0.0,0.0,0.3135502234667484,0.3253313710656532,Dnajb2
ENSMUSG00000047324,0.319408606655608,0.0,0.0,0.3135055031929526,0.32528702406507476,4931429P17Rik
ENSMUSG00000023943,0.31929666362767456,0.0,0.0,0.3133930944938854,0.32517555339520565,Sult1c1
ENSMUSG00000054000,0.3192230718500194,0.0,0.0,0.3133191966723641,0.32510227205855624,Tusc1
ENSMUSG00000072980,0.319221622436006,0.0,0.0,0.3133177412314351,0.32510082875807045,Oip5
ENSMUSG00000025245,0.3192190917642756,0.0,0.0,0.31331520003679797,0.32509830876047197,Lztfl1
ENSMUSG00000044393,0.3191364947749779,0.0,0.0,0.313232259643436,0.32501606011156076,Dsg2
ENSMUSG00000021647,0.3190141835508204,0.0,0.0,0.3131094400653182,0.32489426455323034,Cartpt
ENSMUSG00000039476,0.31900950948624324,0.0,0.0,0.31310474657815707,0.32488961019070556,Prrx2
ENSMUSG00000023075,0.3189469424231195,0.0,0.0,0.31304191955195104,0.3248273068319762,Akirin1
ENSMUSG00000005973,0.31888977511435807,0.0,0.0,0.31298451476100575,0.3247703804243863,Rcn1
ENSMUSG00000054141,0.31887032471766724,0.0,0.0,0.3129649835740797,0.3247510119813171,Olfr24
ENSMUSG00000040657,0.3188394273064136,0.0,0.0,0.31293395783591177,0.3247202447451728,1700063H04Rik
ENSMUSG00000006143,0.3187535228985893,0.0,0.0,0.31284769670560836,0.32463470219921003,Upk3bl
ENSMUSG00000044320,0.318721820957017,0.0,0.0,0.31281586314470144,0.32460313377390365,1700001O22Rik
ENSMUSG00000024673,0.318700188546623,0.0,0.0,0.3127941409290185,0.32458159246329993,Ms4a1
ENSMUSG00000090625,0.318685960176076,0.0,0.0,0.31277985349385296,0.3245674240088508,Gm20721
ENSMUSG00000022303,0.3186855032430658,0.0,0.0,0.312779394664073,0.3245669689999557,Dcstamp
ENSMUSG00000038722,0.318664765496054,0.0,0.0,0.3127585708357192,0.32454631857537225,Bud31
ENSMUSG00000031791,0.3186571010406227,0.0,0.0,0.3127508745669568,0.32453868639198247,Tmem38a
ENSMUSG00000029716,0.31865525526678085,0.0,0.0,0.31274902113186276,0.32453684838986213,Tfr2
ENSMUSG00000109277,0.31860507166649077,0.0,0.0,0.3126986292517731,0.3244868760730674,Gm45230
ENSMUSG00000034761,0.3185186703609262,0.0,0.0,0.3126118694279429,0.32440083845821427,Map4k5
ENSMUSG00000010592,0.3185125551614949,0.0,0.0,0.31260572885750587,0.324394748995924,Dazl
ENSMUSG00000095253,0.31848315733719074,0.0,0.0,0.31257620907311917,0.32436547489192347,Zfp799
ENSMUSG00000079547,0.3184666583376832,0.0,0.0,0.3125596416307101,0.324349045323272,H2-DMb1
ENSMUSG00000005686,0.31841366982817143,0.0,0.0,0.31250643333294237,0.3242962797752535,Ampd3
ENSMUSG00000039672,0.31840496496316595,0.0,0.0,0.31249769236502944,0.3242876115344938,Kcne2
ENSMUSG00000036853,0.3182847033965109,0.0,0.0,0.31237693212309187,0.32416785584691626,Mcoln3
ENSMUSG00000009114,0.31826631565969576,0.0,0.0,0.31235846815671947,0.3241495454413128,2610028H24Rik
ENSMUSG00000033917,0.3180790861206201,0.0,0.0,0.31217046267918547,0.3239631030612394,Gde1
ENSMUSG00000043036,0.31801911808455563,0.0,0.0,0.31211024621445504,0.3239033870489037,Ccdc63
ENSMUSG00000050700,0.3179683710080425,0.0,0.0,0.31205928894589124,0.32385285320717205,Emilin3
ENSMUSG00000050335,0.3179442833280881,0.0,0.0,0.31203510150777614,0.32382886672979333,Lgals3
ENSMUSG00000040640,0.3178452773185878,0.0,0.0,0.31193568554930284,0.32373027660715037,Erc2
ENSMUSG00000105640,0.31779534726142217,0.0,0.0,0.31188554879846425,0.3236805562388227,Gm42912
ENSMUSG00000007594,0.31773789982512257,0.0,0.0,0.3118278635897841,0.3236233500215213,Hapln4
ENSMUSG00000097008,0.31766353306410916,0.0,0.0,0.31175318909276467,0.32354929545902805,Gm26860
ENSMUSG00000020651,0.3176529387575046,0.0,0.0,0.31174255095195635,0.32353874562243184,Slc26a4
ENSMUSG00000020482,0.3175997252740784,0.0,0.0,0.3116891173188488,0.3234857554825092,Ccdc117
ENSMUSG00000086952,0.3175122159225536,0.0,0.0,0.3116012460133782,0.323398613338167,Gm12596
ENSMUSG00000090053,0.3174976710542019,0.0,0.0,0.3115866409947115,0.3233841294933889,Palm2
ENSMUSG00000055675,0.3174868693768855,0.0,0.0,0.31157579464885693,0.3233733731331545,Kbtbd11
ENSMUSG00000109311,0.317477778571656,0.0,0.0,0.3115666662513096,0.3233643204660789,AI314278
ENSMUSG00000049107,0.31736325689486206,0.0,0.0,0.31145167109766897,0.32325027914347715,Ntf3
ENSMUSG00000067608,0.3173497436250006,0.0,0.0,0.311438101970151,0.3232368225429236,Pcna-ps2
ENSMUSG00000030897,0.3172764470918866,0.0,0.0,0.311364502504804,0.3231638333449939,Cnga4
ENSMUSG00000025091,0.31724174854530024,0.0,0.0,0.31132966057496675,0.3231292802663206,Pnliprp2
ENSMUSG00000036887,0.31700179939648554,0.0,0.0,0.31108872033002966,0.3228903366349869,C1qa
ENSMUSG00000028197,0.31698834329468173,0.0,0.0,0.31107520867108107,0.322876936899342,Col24a1
ENSMUSG00000044522,0.3169020442168651,0.0,0.0,0.3109885533410758,0.3227909992629326,A730020M07Rik
