,Cardiomyocytes_corr,Cardiomyocytes_pval,Cardiomyocytes_qval,Cardiomyocytes_ci_low,Cardiomyocytes_ci_high,gene_annotation
ENSMUSG00000073448,0.01468623871067112,1.1432679781908019e-05,1.3843714440984694e-05,0.00812702395146741,0.021244189739920514,Gm10509
ENSMUSG00000099729,0.014685538649486338,1.1443679431702814e-05,1.3856350417081791e-05,0.008126323785508127,0.021243489843723512,Scgb2b11
ENSMUSG00000030595,0.014683601970442056,1.1474161986045392e-05,1.3892574468950906e-05,0.008124386816644716,0.021241553621074962,Nfkbib
ENSMUSG00000049864,0.014682734186269803,1.148784569310247e-05,1.3908456405989045e-05,0.008123518902626718,0.02124068604138785,Olfr250
ENSMUSG00000079380,0.014677771817339109,1.1566394825442096e-05,1.4002866161452384e-05,0.008118555791371194,0.02123572484160277,Gm8271
ENSMUSG00000096770,0.014669176495762309,1.1703664291320983e-05,1.416835292542344e-05,0.008109959184777839,0.02122713154433945,Amy2a4
ENSMUSG00000060678,0.014658090288301012,1.1883011128729622e-05,1.4384050151977995e-05,0.008098871321339626,0.021216047946397778,Hist1h4c
ENSMUSG00000096278,0.014654721192695988,1.1938032258251957e-05,1.444922691666759e-05,0.008095501722803199,0.021212679643505723,Dcpp2
ENSMUSG00000018974,0.014653669250517752,1.1955261412147271e-05,1.4469366961995453e-05,0.008094449623623795,0.021211627948807987,Sart3
ENSMUSG00000059434,0.014650960969745672,1.1999728045564277e-05,1.4521752906875695e-05,0.008091740938710727,0.021208920305120754,Gckr
ENSMUSG00000003402,0.014644619449789167,1.2104466322764945e-05,1.4647782402115674e-05,0.008085398472822651,0.02120258027654101,Prkcsh
ENSMUSG00000044801,0.014624910503819179,1.243558271308911e-05,1.5045504694809237e-05,0.008065686590340532,0.021182875962285897,Olfr159
ENSMUSG00000006529,0.014620424824494327,1.2512141848783806e-05,1.5136639895114066e-05,0.008061200243389086,0.021178391336409596,Itih1
ENSMUSG00000087195,0.014599862804034648,1.2868875938518167e-05,1.5565900189304267e-05,0.008040635165958175,0.02115783414150223,Gm12907
ENSMUSG00000086057,0.014576262489021788,1.3290282069903816e-05,1.6070872999422698e-05,0.008017031349107315,0.021134239358242254,Gm15324
ENSMUSG00000033156,0.014569527886030461,1.3412928708778176e-05,1.6216783653810103e-05,0.008010295748169452,0.02112750633245622,Cst10
ENSMUSG00000105234,0.014567331814829911,1.3453155170593103e-05,1.6264618167638462e-05,0.008008099351679501,0.0211253107754343,4930459L07Rik
ENSMUSG00000003575,0.014566534817194445,1.346778258980311e-05,1.6281500721101283e-05,0.008007302236005733,0.021124513964388775,Crtc1
ENSMUSG00000017146,0.014554139581371474,1.369723622850807e-05,1.655726177353799e-05,0.00799490516547542,0.021112121629417172,Brca1
